Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast
D20240405T193343_IFCB206,ar82a_c11n4_b3_so_50m,1414,1367,1200.9708333333333,117.16748263888888,5,20,16.00183794918747,5,1,False
D20240405T195737_IFCB206,ar82a_c11n4_b3_so_50m,1379,1320,1200.9358333333332,114.42762152777777,5,20,15.897054245822858,5,2,False
D20240405T202131_IFCB206,ar82a_c11n4_b3_so_50m,1093,1060,1200.9556944444444,90.84709201388888,5,20,15.897054245822858,5,3,False
D20240408T164415_IFCB206,ar82a_cast17n10_b2_ne_7m,1681,1608,1200.9408333333333,140.02069444444444,5,20,21.00650720988785,5,1,False
D20240408T170810_IFCB206,ar82a_cast17n10_b2_ne_7m,1531,1444,1200.9976388888888,127.07555555555555,5,20,21.004843976501114,5,2,False
D20240408T173204_IFCB206,ar82a_cast17n10_b2_ne_7m,1671,1613,1201.0331944444445,138.4708767361111,5,20,19.621033798733514,5,3,False
D20240408T181658_IFCB206,ar82a_cast17n10_b2_ne_7m,1549,1481,1200.9297222222222,128.46729166666665,5,20,18.450117494468607,5,1,False
D20240408T184052_IFCB206,ar82a_cast17n10_b2_ne_7m,1605,1496,1200.9811111111112,133.65588541666668,5,20,17.917882810711838,5,2,False
D20240408T190446_IFCB206,ar82a_cast17n10_b2_ne_7m,1646,1562,1201.0395833333334,137.06133680555556,5,20,17.492095063706422,5,3,False
D20240408T194821_IFCB206,ar82a_cast17n8_b3_ne_chlmax,1642,1597,1200.9677777777779,136.06339409722221,5,20,16.959860379949653,5,1,False
D20240408T201215_IFCB206,ar82a_cast17n8_b3_ne_chlmax,1589,1523,1200.9497222222221,131.8075607638889,5,20,16.64051956969559,5,2,False
D20240408T203609_IFCB206,ar82a_cast17n8_b3_ne_chlmax,1483,1424,1200.973611111111,124.30863715277778,5,20,16.74862973983369,5,3,False
D20240408T214307_IFCB206,ar82a_cast17n11_b1_ne_surface,2309,2204,1200.7830555555556,191.3827777777778,5,20,19.409803158617542,5,1,False
D20240408T220701_IFCB206,ar82a_cast17n11_b1_ne_surface,2065,1958,1201.3459722222221,171.77977430555555,5,20,19.835590905622958,5,2,False
D20240408T223055_IFCB206,ar82a_cast17n11_b1_ne_surface,1955,1833,1200.8968055555556,162.9101215277778,5,20,20.367825589379727,5,3,False
D20240415T163004_IFCB206,ar82b_c1n5b1_we_surface,6542,5787,1200.905,545.5398611111111,5,20,16.961523613336396,5,1,False
D20240415T165359_IFCB206,ar82b_c1n5b1_we_surface,6468,5786,1200.9633333333334,539.5252083333334,5,20,17.280864423590458,5,2,False
D20240415T171754_IFCB206,ar82b_c1n5b1_we_surface,5721,4933,1201.2091666666668,477.57,5,20,16.959860379949653,5,3,False
D20240415T212844_IFCB206,ar82b_c2n5b1_cn_surface,3661,3492,1200.9148611111111,306.3354513888889,5,20,16.74862973983369,5,1,False
D20240415T215238_IFCB206,ar82b_c2n5b1_cn_surface,3595,3430,1200.9704166666668,301.62635416666666,5,20,16.855076676585043,5,2,False
D20240415T221632_IFCB206,ar82b_c2n5b1_cn_surface,3601,3401,1200.9406944444445,301.24833333333333,5,20,16.8534134431983,5,3,False
D20240416T205235_IFCB206,ar82b_cast4n8_b2_so_7m,2806,2647,1200.9911111111112,234.26197916666666,5,20,16.855076676585043,5,1,False
D20240416T211629_IFCB206,ar82b_cast4n8_b2_so_7m,2626,2485,1200.9325,219.32880208333333,5,20,16.855076676585043,5,2,False
D20240416T214023_IFCB206,ar82b_cast4n8_b2_so_7m,2455,2328,1200.9447222222223,204.90006944444445,5,20,16.855076676585043,5,3,False
D20240416T223336_IFCB206,ar82b_cast4n6_b3_so_chlmax_23m,2830,2750,1200.9677777777779,236.08939236111112,5,20,16.32117875944153,5,1,False
D20240416T225730_IFCB206,ar82b_cast4n6_b3_so_chlmax_23m,2953,2849,1200.8383333333334,246.41769097222223,5,20,16.32117875944153,5,2,False
D20240416T232124_IFCB206,ar82b_cast4n6_b3_so_chlmax_23m,2691,2534,1201.0645833333333,224.58078125,5,20,16.32117875944153,5,3,False
D20240417T150235_IFCB206,ar82b_c5n9_b1_no_surface,3678,3363,1200.890138888889,308.2913541666667,5,20,16.429288929579627,5,1,False
D20240417T152629_IFCB206,ar82b_c5n9_b1_no_surface,3131,2983,1200.9815277777777,261.29013888888886,5,20,16.429288929579627,5,2,False
D20240417T155024_IFCB206,ar82b_c5n9_b1_no_surface,3173,3029,1200.9144444444444,264.8836111111111,5,20,16.642182803082335,5,3,False
