filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240402T185110_IFCB206,38.062,-73.679,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T191505_IFCB206,38.062,-73.679,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T193859_IFCB206,38.019,-73.712,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T200253_IFCB206,37.961,-73.759,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T202647_IFCB206,37.904,-73.806,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T205042_IFCB206,37.849,-73.855,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T211436_IFCB206,37.794,-73.903,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T213830_IFCB206,37.736,-73.946,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T220224_IFCB206,37.676,-73.99,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T222619_IFCB206,37.616,-74.037,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T225014_IFCB206,37.553,-74.083,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T231408_IFCB206,37.49,-74.128,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240402T233803_IFCB206,37.425,-74.169,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T000157_IFCB206,37.362,-74.208,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T002552_IFCB206,37.296,-74.253,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T004946_IFCB206,37.23,-74.298,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T011340_IFCB206,37.161,-74.339,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T013734_IFCB206,37.095,-74.385,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T020128_IFCB206,37.029,-74.432,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T022523_IFCB206,36.964,-74.479,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T024917_IFCB206,36.895,-74.519,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T031311_IFCB206,36.825,-74.558,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T033705_IFCB206,36.758,-74.6,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T040100_IFCB206,36.692,-74.643,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T042455_IFCB206,36.63,-74.683,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T044850_IFCB206,36.564,-74.725,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240403T051245_IFCB206,36.497,-74.768,3,underway,AR82,IFCB206,,targetdepth_surface,
