Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast,Datetime,lookTime,get_runSampleFast_Int,runSampleFast_Int,flowRate_mins,volumeAnalyzed
D20240401T151712_IFCB206,ar82a_underway ,5811,5748,1200.9409722222222,483.21538194444446,5,20,11.743960479133293,5,1,False,2024-04-01 15:17:01,717.7255902777777,1,1,0.25,2.9905232928240735
D20240401T173608_IFCB206,ar82a_underway ,7454,7347,1200.950138888889,620.1347916666666,5,20,10.679491111619754,5,1,False,2024-04-01 17:36:00,580.8153472222223,1,1,0.25,2.4200639467592593
D20240401T180004_IFCB206,ar82a_underway ,6899,6745,1201.868888888889,575.4369444444444,5,20,10.5730441748684,5,2,False,2024-04-01 18:00:00,626.4319444444445,1,1,0.25,2.610133101851852
D20240401T182359_IFCB206,ar82a_underway ,6622,6448,1202.1619444444443,551.6087847222223,5,20,10.466597238117046,5,3,False,2024-04-01 18:23:05,650.5531597222221,1,1,0.25,2.7106381655092586
D20240401T184754_IFCB206,ar82a_underway ,6347,6354,1202.0315277777777,528.6975694444444,5,20,10.466597238117046,5,4,False,2024-04-01 18:47:05,673.3339583333333,1,1,0.25,2.805558159722222
D20240401T191149_IFCB206,ar82a_underway ,6350,6365,1201.27375,531.0927777777778,5,20,10.466597238117046,5,5,False,2024-04-01 19:11:04,670.1809722222223,1,1,0.25,2.792420717592593
D20240401T193544_IFCB206,ar82a_underway ,6156,6170,1201.5597222222225,512.7665972222222,5,20,10.466597238117046,5,6,False,2024-04-01 19:35:04,688.7931250000003,1,1,0.25,2.8699713541666676
D20240401T195940_IFCB206,ar82a_underway ,5873,5435,1201.9033333333334,489.95399305555554,5,20,10.468260471503783,5,7,False,2024-04-01 19:59:04,711.9493402777779,1,1,0.25,2.966455584490741
D20240401T202335_IFCB206,ar82a_underway ,5626,5136,1201.7493055555556,469.1170138888889,5,20,10.468260471503783,5,8,False,2024-04-01 20:23:03,732.6322916666667,1,1,0.25,3.052634548611111
D20240401T204730_IFCB206,ar82a_underway ,5506,4995,1202.1091666666666,459.2791666666666,5,20,10.468260471503783,5,9,False,2024-04-01 20:47:03,742.83,1,1,0.25,3.0951250000000003
D20240401T211125_IFCB206,ar82a_underway ,5563,5043,1201.8277777777778,464.30097222222224,5,20,10.466597238117046,5,10,False,2024-04-01 21:11:02,737.5268055555555,1,1,0.25,3.073028356481481
