Filename,FileComment,triggerCount,roiCount,runTime,inhibitTime,SyringeSampleVolume,syringeSamplingSpeed,temperature,RunFastFactor,sampleNumber,runSampleFast
D20240420T222903_IFCB206,ar82a_underway ,5811,5748,1200.9409722222222,483.21538194444446,5,20,11.743960479133293,5,1,False
D20240420T222903_IFCB206,ar82a_underway ,7454,7347,1200.950138888889,620.1347916666666,5,20,10.679491111619754,5,1,False
D20240420T222903_IFCB206,ar82a_underway ,6899,6745,1201.868888888889,575.4369444444444,5,20,10.5730441748684,5,2,False
D20240420T222903_IFCB206,ar82a_underway ,6622,6448,1202.1619444444445,551.6087847222223,5,20,10.466597238117046,5,3,False
D20240420T222903_IFCB206,ar82a_underway ,6347,6354,1202.0315277777777,528.6975694444444,5,20,10.466597238117046,5,4,False
D20240420T222903_IFCB206,ar82a_underway ,6350,6365,1201.27375,531.0927777777778,5,20,10.466597238117046,5,5,False
D20240420T222903_IFCB206,ar82a_underway ,6156,6170,1201.5597222222223,512.7665972222222,5,20,10.466597238117046,5,6,False
D20240420T222903_IFCB206,ar82a_underway ,5873,5435,1201.9033333333334,489.95399305555554,5,20,10.468260471503783,5,7,False
D20240420T222903_IFCB206,ar82a_underway ,5626,5136,1201.7493055555556,469.1170138888889,5,20,10.468260471503783,5,8,False
D20240420T222903_IFCB206,ar82a_underway ,5506,4995,1202.1091666666666,459.27916666666664,5,20,10.468260471503783,5,9,False
D20240420T222903_IFCB206,ar82a_underway ,5563,5043,1201.8277777777778,464.30097222222224,5,20,10.466597238117046,5,10,False
D20240420T222903_IFCB206,ar82a_underway ,4866,4421,1201.9634722222222,405.7268402777778,5,20,10.468260471503783,5,11,False
D20240420T222903_IFCB206,ar82a_underway ,3871,3436,1201.4383333333333,323.3412152777778,5,20,10.5730441748684,5,12,False
D20240420T222903_IFCB206,ar82a_underway ,3460,3141,1201.2934722222221,288.6702604166667,5,20,10.574707408255136,5,13,False
D20240420T222903_IFCB206,ar82a_underway ,3632,3189,1200.92125,303.0695138888889,5,20,10.68115434500649,5,14,False
D20240420T222903_IFCB206,ar82a_underway ,4000,3653,1201.685,333.5996527777778,5,20,10.68115434500649,5,15,False
D20240420T222903_IFCB206,ar82a_underway ,4525,4152,1200.9316666666666,377.29850694444445,5,20,10.679491111619754,5,16,False
D20240420T222903_IFCB206,ar82a_underway ,4408,4195,1201.0201388888888,367.64506944444446,5,20,10.68115434500649,5,17,False
D20240420T222903_IFCB206,ar82a_underway ,3504,3318,1201.3765277777777,292.79375,5,20,10.785938048371108,5,18,False
D20240420T222903_IFCB206,ar82a_underway ,3140,3033,1200.9179166666668,261.8411111111111,5,20,10.574707408255136,5,19,False
D20240420T222903_IFCB206,ar82a_underway ,3147,3099,1201.7093055555556,262.445,5,20,10.5730441748684,5,20,False
D20240420T222903_IFCB206,ar82a_underway ,3150,3019,1200.9679166666667,262.7919097222222,5,20,10.468260471503783,5,21,False
D20240420T222903_IFCB206,ar82a_underway ,3252,3194,1201.4722222222222,271.1509722222222,5,20,10.466597238117046,5,22,False
D20240420T222903_IFCB206,ar82a_underway ,2666,2603,1201.0652777777777,222.41357638888888,5,20,10.360150301365692,5,23,False
D20240420T222903_IFCB206,ar82a_underway ,2630,2589,1200.9205555555557,219.32128472222223,5,20,10.255366598001075,5,24,False
D20240420T222903_IFCB206,ar82a_underway ,2564,2533,1201.023888888889,213.81612847222223,5,20,10.253703364614339,5,25,False
D20240420T222903_IFCB206,ar82a_underway ,2544,2463,1201.0177777777778,212.12875,5,20,10.253703364614339,5,26,False
D20240420T222903_IFCB206,ar82a_underway ,2362,2269,1201.1530555555555,197.0531423611111,5,20,10.253703364614339,5,27,False
D20240420T222903_IFCB206,ar82a_underway ,2380,2295,1200.918888888889,198.48987847222222,5,20,10.253703364614339,5,28,False
D20240420T222903_IFCB206,ar82a_underway ,2679,2618,1201.4720833333333,223.3241840277778,5,20,10.253703364614339,5,29,False
D20240420T222903_IFCB206,ar82a_underway ,3031,2958,1201.2772222222222,252.77916666666667,5,20,10.255366598001075,5,30,False
D20240420T222903_IFCB206,ar82a_underway ,3154,3088,1201.5959722222221,263.1352083333333,5,20,10.468260471503783,5,31,False
D20240420T222903_IFCB206,ar82a_underway ,3753,3722,1201.2568055555555,312.94961805555556,5,20,11.319835965514613,5,32,False
D20240420T222903_IFCB206,ar82a_underway ,3008,2937,1200.9122222222222,250.7061111111111,5,20,11.745623712520029,5,33,False
D20240420T222903_IFCB206,ar82a_underway ,2070,2001,1201.0206944444444,172.68616319444445,5,20,12.171411459525444,5,34,False
D20240420T222903_IFCB206,ar82a_underway ,1949,1889,1200.9393055555556,162.52904513888888,5,20,12.916540016784921,5,35,False
D20240420T222903_IFCB206,ar82a_underway ,2131,2079,1200.9155555555556,177.66831597222222,5,20,13.342327763790351,5,36,False
D20240420T222903_IFCB206,ar82a_underway ,2217,2146,1201.08375,184.79723958333332,5,20,13.660005340657676,5,37,False
D20240420T222903_IFCB206,ar82a_underway ,2415,2361,1200.9052777777779,201.43789930555556,5,20,13.768115510795766,5,38,False
D20240420T222903_IFCB206,ar82a_underway ,3086,3014,1201.2859722222222,257.35963541666666,5,20,13.553558403906322,5,39,False
D20240420T222903_IFCB206,ar82a_underway ,3326,3269,1201.0123611111112,278.11661458333333,5,20,13.447111467154969,5,40,False
D20240420T222903_IFCB206,ar82a_underway ,2617,2576,1200.9754166666667,218.32321180555556,5,20,12.595535973144123,5,41,False
D20240420T222903_IFCB206,ar82a_underway ,2072,2008,1200.9325,172.8737326388889,5,20,12.063301289387354,5,42,False
D20240420T222903_IFCB206,ar82a_underway ,2270,2185,1201.2691666666667,189.35005208333334,5,20,11.532729839017321,5,43,False
D20240420T222903_IFCB206,ar82a_underway ,2314,2225,1201.0111111111112,192.93565972222223,5,20,11.318172732127877,5,44,False
D20240420T222903_IFCB206,ar82a_underway ,2158,2081,1200.9256944444444,180.0371875,5,20,11.21338902876326,5,45,False
D20240420T222903_IFCB206,ar82a_underway ,2348,2290,1200.9077777777777,195.86222222222221,5,20,11.211725795376523,5,46,False
D20240420T222903_IFCB206,ar82a_underway ,2553,2502,1201.5194444444444,212.88322916666667,5,20,11.211725795376523,5,47,False
D20240420T222903_IFCB206,ar82a_underway ,2480,2420,1200.9315277777778,206.8659722222222,5,20,11.21338902876326,5,48,False
D20240420T222903_IFCB206,ar82a_underway ,2915,2830,1200.8469444444445,243.00776041666666,5,20,11.319835965514613,5,49,False
D20240420T222903_IFCB206,ar82a_underway ,2882,2812,1200.9281944444444,240.3737152777778,5,20,11.532729839017321,5,50,False
